Quote,Author
"Over the last 10 to 15 years there has been an uprising of people who value privacy, not because they are weird and want to go and hide in the woods, ordinary citizens who are not happy with how much data they are handing over.",Riccardo Spagni
It is a crime against your future to not have any Bitcoin exposure yesterday.,Rodolfo Novak
I can remember 12 words. Therefore I am a free man.,Adam Curry
"When I first stumbled upon this Mengerian framework of money, this is when I actually thought it's game over for all the shitcoins out there.",Emil Sandstedt
"Bitcoin endures because the engineers that build it expect the unexpected. Money is a dangerous game, and any weaknesses, no matter how small, will be exploited.",Neil Woodfine
Finding Bitcoin was a forcing function for understanding money. ,Andy Edstrom
This is gold except with teleportation built in.,Vijay Boyapati
"This is lies, my trust in you is broken, I will make you obsolete",Nicolas Dorier
Bitcoin is diamonds without the blood. Cash without the corruption. Gold without the weight.,George Mekhail
"Bitcoin isn't about buying a latte with your mobile phone, it is about making the transactions that they say you can't make.",Keonne Rodriguez
Bitcoin is a short squeeze on the world.,Su Zhu
Quantitative easing is universal basic income for rich people.,Travis Kling
[Bitcoin is] like a machine that turns greed into freedom.,Alex Gladstein
"I think the internet is going to be one of the major forces for reducing the role of government. The one thing that's missing but that will soon be developed, is a reliable e-cash.",Milton Friedman
Bitcoin is the only game where the pursuit of self-interest dismantles the powers that be.,Hugo Nguyen
As long as we keep growing hardcore asshole maximalists who don't take shit we're in a good place.,American Hodl
You need a PhD in economics to not understand Bitcoin.,Obi-Wan Kenobit
Shitcoins are created to take your Bitcoin.,Mr. Hodl
"If you're not pro-Bitcoin, you hate the environment.",Matt Odell
"Once launched it cannot be stopped, come what may.",Simon Morris
"The Tao of Bitcoin is not understanding bitcoin, it is accepting that bitcoin is what it is.",Jameson Lopp
I AM HODLING,Game Kyuubi
Bitcoin number go up means state power go down.,Stephen Cole
"Bitcoin doesn't pretend, lie or manipulate.",Hodlonaut
"Compared to Bitcoin, not even gold is safe…",Robert Breedlove
"Bitcoin has a 4 letter explanation: brrr. If you don’t understand that yet, you will soon. Until then, DYOR.",White Rabbit
Gold has been forever neutered by centralization.,Marty Bent
"We don't have to have this big giant massive collapse. It just organically blows up, one-by-one, as people move to a harder, sounder money. And in the process, Bitcoin becomes a black hole on the world's balance sheet.",Trace Mayer
I believe that the invention of Bitcoin is the kind of thing that comes around once in a lifetime; perhaps once in many lifetimes.,Yan Pritzker
I like to call the lightning network a fee aggregation network.,Sergej Kotliar
Through owning bitcoin you are part of the revolution.,Dan Held
"Bitcoin has an inescapable, unavoidable, and omnipotent magnetism for the brightest and most revolutionary minds on the planet. I've never witnessed anything like it.",Brandon Bridge
"There is beauty in Bitcoin's simplicity. Part of ""fixing the money"" is fixing the supply and making sure precedents that change monetary policy aren't set.",Marty Bent
The future is bright. We just have a lot of work to do.,Adam Fiscor
"Don’t wait to buy bitcoin, buy bitcoin and wait.",Goon³⁴
Satoshi Nakamoto's main invention is the decentralized mechanism for emergent consensus.,Andreas Antonopoulos
Bitcoin is my stablecoin.,Matt Odell
I'm profoundly grateful that Bitcoin exists. ,Elisabeth Préfontaine
"If you want the bitcoin price to be stable, you gotta put your nuts on the table.",Hass McCook
A lot of people automatically dismiss e-currency as a lost cause because of all the companies that failed since the 1990’s. I hope it’s obvious it was only the centrally controlled nature of those systems that doomed them.,Satoshi Nakamoto
"Once you ask yourself “What is money?”, Bitcoin will make sense.",Misir Mahmudov
"Bitcoin is cosmic, at its core.",Thibaud Marechal
Bitcoin seems to be a very promising idea. I like the idea of basing security on the assumption that the CPU power of honest participants outweighs that of the attacker. It is a very modern notion that exploits the power of the long tail.,Hal Finney
Bitcoin is protected by a wall of encrypted energy. The fact that there's a lot of energy involved is a good thing. It creates security to the network.,Michael Saylor
Fiat is untruth. Bitcoin is truth.,Robert Breedlove
One of the greatest things that Satoshi did was disappear.,Jimmy Song
Bitcoin is radically changing the world by being unchangeable.,Robert Breedlove
"[Bitcoin is] not a short term game, it's a long term revolution of our society as a whole.",Justine
"""Fiat money, fiat families. Sound money, sound families.""",Trace Mayer
You can securely control neither your land nor your digitally centralized financial assets without the help of government. Thus the locality & importance of legal ownership in these things. You can securely control your globally seamless Bitcoin without the help of government.,Nick Szabo
"[Bitcoin's limited supply] is like a law of the universe which is man-made. It's crazy, but it's wonderful.",Francis Pouliot
"People will be forced to pay with bitcoins, not because of 'the technology', but because no one will accept their worthless fiat for payments.",Pierre Rochard
"[Bitcoin] is one of the first things that we have ever seen that has a truly organic nature. And if it has a true organic nature, guess what: you can not predict its actions, because it falls under the rules of the universe. We have no control over this thing. It's bigger than all of us put together.",David Bennett
We’re building for the next 100 years,ʟɪɢʜᴛɴɪɴɢ ⚡ ᴋᴏᴀʟᴀ
The whole point of Bitcoin is that you don't need to rely on any company to be able to use your own money.,Beautyon
Every tool is a weapon - if you hold it right.,Ani DiFranco
Trusted third parties are lawyer magnets.,Nick Szabo
The end goal is Bitcoin itself.,Erik
"The more loathsome people that use bitcoin, the better. The more it works even if teeming with people that mutually despise each other, the more faith I have in its ability to protect us all",Nic Carter
"If nuclear war destroyed half of our planet, [Bitcoin] would continue to live, uncorrupted.",Ralph Merkle
"If you drive a car that's younger than Bitcoin, you're short bitcoin.",Matt Odell
"That's another thing that drives me to Bitcoin: the search for objective, undeniable truth.",Marty Bent
I'm not here to fix Bitcoin.,Michael Saylor
"As the world is crashing, bitcoin keeps hashing.",Lt. Col. Steve
Altcoins are created to take your Bitcoin.,Mr. Hodl
"I honestly have no idea how one could look at the world of today, sincerely understand what bitcoin is and reject it.",Erik Cason
"A lot of the dismissals, criticisms and attacks on Bitcoin come from people who have the luxury of having a stable financial system.",Alex Gladstein
Bitcoin is a device for transferring wealth from the impatient to the patient.,Stephan Livera
"Bitcoin has come much further and much faster than people expected. There was a saying in the early dotcom era about “internet time,” and bitcoin time seems to be moving even faster.",Adam Back
"A smartphone isn't really a calculator, but it can calculate as well as any calculator. A smartphone isn't really a camera, but it can take photos as well as any camera. Just like bitcoin can currency as well as any currency.",Shudra H Way
Money shouldn't have a memory.,Chris Belcher
"The reason I own bitcoin is BECAUSE the Federal Reserve ""isn’t out of tools by a long shot.""",Preston Pysh
The genesis behind so many of the whitepapers and the ICOs and all of this stuff is not understanding proof-of-work; not appreciating proof-of-work.,Ryan Gentry
"Does not occur in nature, hence, does not occur in Bitcoin.",Hass McCook
Your government considering a Bitcoin ban is a buy signal not a sell signal.,Matt Odell
The conscience of Bitcoin will guide you because it springs from such a beautiful place.,Cory Klippsten
"Bitcoin’s resilience as a currency [...] has no regard for borders, edicts or politics.",Colin Harper
"Those crashes, these bailouts, are not accidents. And neither is it an accident that there is no financial education in school.",Robert Kiyosaki
Masses will not buy bitcoin. Masses will earn it.,Suheb Saubyk
He who only wishes and hopes does not interfere actively with the course of events and with the shaping of his own destiny.,Ludwig von Mises
"All money mankind has ever used has been insecure in one way or another. This insecurity has been manifested in a wide variety of ways, from counterfeiting to theft, but the most pernicious of which has probably been inflation.",Nick Szabo
Buying bitcoin is the most powerful protest an individual can make against the current economic system.,Luc Dossis
"It’s what I like to call the underlying technology behind Bitcoin, Number Go Up.",Saifedean Ammous
"I don’t believe we shall ever have a good money again before we take the thing out of the hands of government, that is, we can’t take it violently out of the hands of government, all we can do is by some sly roundabout way introduce something that they can’t stop.",Friedrich Hayek
"Orange is the new gold.
",Kexkey
[Bitcoin] is the non-violent revolution that we have been hoping and praying for.,Erik Cason
"The magic of Bitcoin isn’t the transfer of money to someone 10,000 miles away – it is the transfer of money to someone 10,000 days away.",Michael Saylor
Only Bitcoin is the disruptor.,David Bennett
We are all bitcoin.,Hass McCook
The good thing about bitcoin is that you know exactly the number — the magic number of 21 million.,Garry Kasparov
Those that attempt to copy bitcoin signal a failure to understand the properties that make bitcoin valuable or viable as money.,Parker Lewis
"[Bitcoin's] mere existence is an insurance policy that will remind governments that the last object establishment could control, namely, the currency, is no longer their monopoly. This gives us, the crowd, an insurance policy against an Orwellian future.",Nassim Nicholas Taleb
The number will go up until the old world is replaced with the new.,Balaji S. Srinivasan
Bitcoin seems to reward honesty.,Steve Barbour
"[It is] your moral duty to invest any excess intellectual capability you can spare in the betterment of Bitcoin, in whatever shape or form.",Rajarshi Maitra
Bitcoin is novel in that all financial transactions can be validated from public data and without identity.,Eric Voskuil
We are in the process of repricing the world in sats.,Bitcoin Tina
Bitcoin is risky but certain.,Pierre Rochard
Bitcoin is money that most closely aligns with the principles of Natural Law.,Jimmy Song
Bitcoin is our peaceful weapon of choice against central-bank-driven time theft.,Ross Stevens
"A money whose purchasing power per unit increased - ""deflationary"" money - would be preferable to a ""stable"" one.",Hans-Hermann Hoppe
Computer illiteracy and economic ignorance are the toxic cocktail that makes it impossible to understand Bitcoin.,Beautyon
The path to maximalism is paved with the bones of shitcoins.,Crypto Contagion
"Bitcoin is deliberately amoral, it has no requirements to entry and asks nothing of the user aside from a valid signature.",Nic Carter
The road to serfdom is working exponentially harder for a currency that is growing exponentially weaker.,Michael Saylor
Number go up and censorship resistance have to go together. You can't have one without the other.,Chris Belcher
Bitcoin is the culmination of 30 years of attempts at building digital money for the internet.,Matt Corallo
